	Aguanil	Araujos	Camacho	Cana Verde	Carmo da Mata	Carmo do Cajuru	Conceicao do Para	Corrego Danta	Corrego Fundo	Cristais	Estrela do Indaia	Igaratinga	Itapecerica	Itatiaiucu	Japaraiba	Leandro Ferreira	Martinho Campos	Medeiros	Oliveira	Onca de Pitangui	Pains	Passa Tempo	Pedra do Indaia	Perdigao	Piracema	Santana do Jacare	Sao Francisco de Paula	Sao Goncalo do Para	Sao Jose da Varginha	Sao Sebastiao do Oeste	Serra da Saudade	Tapirai
Itatiaiucu	0.9970025790126633	0.998352369403996	0.9999330208063798	0.9982880374696737	0.9988896719095772	0.9944202029655593	0.9997878936619229	0.9998695998298096	0.9941492791075914	0.9774176685145259	0.9988527224770819	0.9999946653241905	0.9868775770019755	0.0	0.9971756896054047	0.9983615857958261	0.9996500729771037	0.9999992855380336	0.899210104431947	0.9999407896088881	0.9989611142909471	0.9981734452483695	0.9999626484140599	0.9999556484190049	0.9991489436208796	0.9978287605573787	0.9970862549193139	0.999516320998643	0.9999993364860343	0.9999997509048993	0.9992627139292045	0.9993230525045582
Japaraiba	0.9999974219375914	0.9998422463821559	0.9979781442402101	0.9998613529720803	0.9996067140884211	0.9836887934897492	0.9954173859727383	0.995832815618921	0.9832291207114833	0.9905279055890892	0.9996282262500242	0.9974156898983546	0.9962174272782902	0.9971756896054047	0.0	0.9998393765780379	0.9988134408144104	0.9970851993889258	0.8638110769980994	0.9979339283442809	0.9927171832620968	0.9908169957892362	0.9977875707207606	0.9978388046956131	0.9932291461851696	0.9900640901092106	0.9999993019814136	0.9943577391555685	0.9972615455343405	0.9971224307125083	0.9993239681966276	0.9992636695587475
Leandro Ferreira	0.9997961018332439	0.9999999870647102	0.9989569733631953	0.9999991919502407	0.9999487607790086	0.9867546918515531	0.9969713592882192	0.9973073634547546	0.9863398255572794	0.9879078176309785	0.9999563328889896	0.9985431633127367	0.9945000136178704	0.9983615857958261	0.9998393765780379	0.0	0.999525844338829	0.9982924729353009	0.8727020393096204	0.9989251402371953	0.9947168383857432	0.9930811634089968	0.9988188501308616	0.9988562136316586	0.995151713886339	0.992425287818468	0.9998175023555141	0.9960992320832922	0.998426839065939	0.9983209496570942	0.9998223649480287	0.9997908238489478
Martinho Campos	0.9987002818187846	0.9995208788803176	0.9998892736798005	0.9994858933264777	0.9997863278862444	0.9912817204389441	0.9988932440793838	0.9990925436017511	0.9909441426699118	0.9826654831413766	0.9997699453723453	0.9997311442335265	0.9908035245371686	0.9996500729771037	0.9988134408144104	0.999525844338829	0.0	0.9996177381568686	0.8873220523038895	0.9998787379732912	0.9974060935846004	0.9962260767781871	0.9998413634043828	0.9998548694685373	0.9977082070484204	0.9957373904073091	0.99875520237978	0.9983439288858714	0.9996798820281035	0.9996311531528573	0.9999286355444289	0.9999465234227155
Medeiros	0.9969093824670995	0.9982830645977135	0.9999184712967982	0.998217407574718	0.9988326431806426	0.9945455945006397	0.9998117985136066	0.9998881893315315	0.994277687185603	0.9771643674382642	0.9987947649474969	0.9999900462987408	0.9866838542545885	0.9999992855380336	0.9970851993889258	0.9982924729353009	0.9996177381568686	0.0	0.8997324593219448	0.9999270671448008	0.9990148747305252	0.9982449487543872	0.999951602322647	0.9999436757821641	0.9991975364989786	0.9979067771420593	0.9969943564340732	0.9995527814194671	0.9999972449912589	0.9999998801702936	0.999216105834013	0.9992783617431891
Oliveira	0.8626648309582252	0.872623495752558	0.8940861210461212	0.8720806380072459	0.8775999260801919	0.94034703370535	0.9080301854787285	0.9061582174799662	0.9412074241018223	0.7864492280372712	0.8772267426870445	0.8977762047416679	0.8167642894823508	0.899210104431947	0.8638110769980994	0.8727020393096204	0.8873220523038895	0.8997324593219448	0.0	0.8943958140945252	0.9182139036220996	0.9239995211718205	0.8953950491619385	0.895049629866692	0.9164914821545657	0.9260733256909393	0.8632151954661234	0.9123813517813218	0.8987055026556828	0.8995186913049016	0.8817495016433909	0.8825055339124189
Onca de Pitangui	0.9977854658912907	0.9989176718077303	0.9999997606240958	0.9988654068973551	0.9993431851087895	0.993213367419214	0.9995045780432269	0.9996346665352394	0.9929150006039348	0.9796593360778784	0.9993146933371592	0.9999710000402552	0.9885762582650086	0.9999407896088881	0.9979339283442809	0.9989251402371953	0.9998787379732912	0.9999270671448008	0.8943958140945252	0.0	0.9984060660010874	0.9974569267004724	0.9999974933096737	0.9999989284772081	0.9986409253054144	0.9970529735776731	0.997857319552377	0.9991187250079334	0.9999526618025649	0.999932859752573	0.9996213395413409	0.999664219917746
Pains	0.9924410757163902	0.9947003138620211	0.9983667760008879	0.9945855312918226	0.9957050677895591	0.9981944402301607	0.9996877727650137	0.9995667617487993	0.9980387886650233	0.9667723903650673	0.9956327475171186	0.9988069332191165	0.9784940046817423	0.9989611142909471	0.9927171832620968	0.9947168383857432	0.9974060935846004	0.9990148747305252	0.9182139036220996	0.9984060660010874	0.0	0.999889538176699	0.9985299327590766	0.998487617600532	0.9999906388556173	0.9997934971459945	0.9925741523008392	0.9998951247521226	0.9989079554897584	0.9989930304595835	0.9964749932222705	0.9966083643499143
Passa Tempo	0.9905074194038388	0.9930622627314095	0.9974073735804667	0.9929310770433144	0.9942190264945773	0.9989769361921056	0.9992059593737778	0.9990188856554683	0.9988589511098486	0.9628660179063132	0.9941352023655906	0.997970786564475	0.9753200306957971	0.9981734452483695	0.9908169957892362	0.9930811634089968	0.9962260767781871	0.9982449487543872	0.9239995211718205	0.9974569267004724	0.999889538176699	0.0	0.9976140081331519	0.9975601937959115	0.99981586672598	0.9999850983082542	0.9906565484384107	0.9995694215105397	0.9981031887700603	0.9982158379147472	0.9951180512147069	0.99527518229656
Pedra do Indaia	0.9976340352698647	0.9988110219712231	0.9999957046888246	0.9987562736638026	0.9992595409554413	0.9934712946215776	0.9995725441562877	0.9996926788383956	0.9931785715376673	0.979207573709728	0.9992293086735075	0.999985545434045	0.9882363061621732	0.9999626484140599	0.9977875707207606	0.9988188501308616	0.9998413634043828	0.999951602322647	0.8953950491619385	0.9999974933096737	0.9985299327590766	0.9976140081331519	0.0	0.999999699576023	0.9987551175245889	0.997222246078142	0.9977083221523398	0.9992102015316839	0.9999719413957058	0.9999562988620058	0.9995572219958133	0.9996036949578961
Perdigao	0.9976870253895629	0.9988485100033341	0.9999976761917536	0.9987946213973671	0.9992890648555424	0.9933825659219253	0.9995495819527068	0.9996731626336423	0.9930878888565403	0.9793645258622866	0.9992594351074272	0.9999810772974554	0.9883545556033236	0.9999556484190049	0.9978388046956131	0.9988562136316586	0.9998548694685373	0.9999436757821641	0.895049629866692	0.9999989284772081	0.998487617600532	0.9975601937959115	0.999999699576023	0.0	0.9987161517430204	0.9971642110668847	0.9977604699520876	0.9991791000033328	0.9999658343088337	0.9999487517744479	0.9995799861068297	0.9996252153703871
Piracema	0.9929627934911562	0.9951358817903089	0.9986046247173619	0.9950258792317453	0.9960963411733743	0.9979251977941557	0.9997865317808973	0.9996847578432783	0.997758587293059	0.9678694674251667	0.9960273728854877	0.9990088816652033	0.979377380557751	0.9991489436208796	0.9932291461851696	0.995151713886339	0.9977082070484204	0.9991975364989786	0.9164914821545657	0.9986409253054144	0.9999906388556173	0.99981586672598	0.9987551175245889	0.9987161517430204	0.0	0.9996962085451111	0.9930911913901971	0.9999484286545333	0.999100764471619	0.9991778085653212	0.9968286514887329	0.9969551001240855
Santana do Jacare	0.9897422377605455	0.9924055154257967	0.9969996535528742	0.9922683121342553	0.9936180483762211	0.9992089300363258	0.9989735584780232	0.998762230243836	0.9991047864344225	0.9613777891259907	0.9935300035198142	0.9976083072425665	0.9741001216960561	0.9978287605573787	0.9900640901092106	0.992425287818468	0.9957373904073091	0.9979067771420593	0.9260733256909393	0.9970529735776731	0.9997934971459945	0.9999850983082542	0.997222246078142	0.9971642110668847	0.9996962085451111	0.0	0.9898972546025582	0.9993943398592573	0.9977522279833427	0.9978749988996914	0.994564441515255	0.9947302909342651
Sao Francisco de Paula	0.9999994068539236	0.9998205621702092	0.99790235127636	0.9998409805531082	0.9995728822653626	0.983475572948403	0.9953037058559138	0.9957243668930549	0.9830129515163045	0.990689453293897	0.9995953131741939	0.997330103991915	0.9963194024716392	0.9970862549193139	0.9999993019814136	0.9998175023555141	0.99875520237978	0.9969943564340732	0.8632151954661234	0.997857319552377	0.9925741523008392	0.9906565484384107	0.9977083221523398	0.9977604699520876	0.9930911913901971	0.9898972546025582	0.0	0.994231708874391	0.997173468097848	0.9970321644796071	0.9992798322754028	0.9992176384935982
Sao Goncalo do Para	0.9941143018512393	0.9960850263620462	0.9990894435966711	0.9959862511512703	0.9969414505269869	0.9972198631779601	0.9999448036097235	0.9998881888765255	0.9970275429991264	0.9703732581445761	0.9968803548190894	0.9994094085944631	0.9813787427629005	0.999516320998643	0.9943577391555685	0.9960992320832922	0.9983439288858714	0.9995527814194671	0.9123813517813218	0.9991187250079334	0.9998951247521226	0.9995694215105397	0.9992102015316839	0.9991791000033328	0.9999484286545333	0.9993943398592573	0.994231708874391	0.0	0.9994798332300853	0.9995380222328808	0.9975854198157279	0.9976956112359648
Sao Jose da Varginha	0.9970910432266962	0.99841780766198	0.9999456900226009	0.9983547527838414	0.9989432791590714	0.9942980204306273	0.9997635051505169	0.9998503335354832	0.9940241899392166	0.9776604496788058	0.9989072248485777	0.9999977645900192	0.987062930583631	0.9999993364860343	0.9972615455343405	0.998426839065939	0.9996798820281035	0.9999972449912589	0.8987055026556828	0.9999526618025649	0.9989079554897584	0.9981031887700603	0.9999719413957058	0.9999658343088337	0.999100764471619	0.9977522279833427	0.997173468097848	0.9994798332300853	0.0	0.9999982743031515	0.9993062784570423	0.999364769243341
Sao Sebastiao do Oeste	0.996947722101206	0.9983116199267004	0.999924602608512	0.9982465055647143	0.9988561711012025	0.9944944138999152	0.9998021813372747	0.9998807489989211	0.9942252711537589	0.9772682723313947	0.9988186732394033	0.9999921107257903	0.9867633612842129	0.9999997509048993	0.9971224307125083	0.9983209496570942	0.9996311531528573	0.9999998801702936	0.8995186913049016	0.999932859752573	0.9989930304595835	0.9982158379147472	0.9999562988620058	0.9999487517744479	0.9991778085653212	0.9978749988996914	0.9970321644796071	0.9995380222328808	0.9999982743031515	0.0	0.999235366189572	0.9992968368910671
Serra da Saudade	0.9992379110811526	0.9998193204763028	0.9996401396906855	0.9997975966449564	0.9999619314757573	0.9896368866472313	0.9982600457683253	0.9985124082213201	0.9892692834339378	0.9848101267204518	0.9999548413511224	0.9993827900721781	0.9923493068084033	0.9992627139292045	0.9993239681966276	0.9998223649480287	0.9999286355444289	0.999216105834013	0.8817495016433909	0.9996213395413409	0.9964749932222705	0.9951180512147069	0.9995572219958133	0.9995799861068297	0.9968286514887329	0.994564441515255	0.9992798322754028	0.9975854198157279	0.9993062784570423	0.999235366189572	0.0	0.9999987117795863
Tapirai	0.9991739703897667	0.9997875212530868	0.9996819098337566	0.9997640154303531	0.999946637636245	0.9898660964137447	0.998353406355318	0.9985986415034648	0.9895025242911072	0.984530151947926	0.9999382989511335	0.9994378890474965	0.9921498560839123	0.9993230525045582	0.9992636695587475	0.9997908238489478	0.9999465234227155	0.9992783617431891	0.8825055339124189	0.999664219917746	0.9966083643499143	0.99527518229656	0.9996036949578961	0.9996252153703871	0.9969551001240855	0.9947302909342651	0.9992176384935982	0.9976956112359648	0.999364769243341	0.9992968368910671	0.9999987117795863	0.0
