	Arcos	Bambui	Bom Despacho	Campo Belo	Candeias	Carmopolis de Minas	Claudio	Divinopolis	Dores do Indaia	Formiga	Iguatama	Itaguara	Itauna	Lagoa da Prata	Luz	Moema	Nova Serrana	Oliveira	Para de Minas	Pitangui	Santo Antonio do Amparo	Santo Antonio do Monte
Iguatama	0.0	0.0	0.0	0.0	0.0	0.0	0.6948877210765272	0.0	0.0	0.0	0.0	0.0	0.0	0.6461132261837932	0.0	0.0	0.7650947379778004	0.0	0.0	0.7925612301536887	0.0	0.606004897491367
Itaguara	0.6765274369869704	0.8091748922926916	0.9238552722053012	0.9416124330117919	0.7198897960153773	0.0	0.0	0.7858269557860648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7663578117031059	0.0	0.0	0.0	0.9140182201480214	0.9206141269435621
Itauna	0.6464931244336858	0.5137519558224853	0.0	0.0	0.0	0.9833067617655038	0.0	0.0	0.631147716637669	0.711949357378783	0.0	0.0	0.0	0.0	0.9056603677746289	0.6686892760817872	0.0	0.0	0.8285372628704429	0.0	0.0	0.0
Lagoa da Prata	0.0	0.0	0.0	0.0	0.0	0.0	0.7833644279132691	0.0	0.0	0.0	0.6461132261837932	0.0	0.0	0.0	0.0	0.0	0.6345162797092669	0.0	0.0	0.7375835885874216	0.0	0.0
Luz	0.8702374215166935	0.5899206295447917	0.5339695238035607	0.0	0.0	0.8151868092855251	0.0	0.7289239507015723	0.5938338605825617	0.8376505390906231	0.0	0.0	0.9056603677746289	0.0	0.0	0.691926877166576	0.0	0.5961619506204404	0.8256894528652997	0.0	0.5194453912511269	0.0
Moema	0.5122963874524793	0.0	0.0	0.0	0.0	0.6449765572875039	0.0	0.0	0.0	0.8164242787128754	0.0	0.0	0.6686892760817872	0.0	0.691926877166576	0.0	0.0	0.9554202157577892	0.0	0.0	0.0	0.0
Nova Serrana	0.6922414480356125	0.0	0.7981773780399954	0.5917062367779827	0.0	0.0	0.0	0.876660377177974	0.0	0.0	0.7650947379778004	0.7663578117031059	0.0	0.6345162797092669	0.0	0.0	0.0	0.0	0.0	0.0	0.8066875018248932	0.7877033962909867
Oliveira	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7590395381578582	0.0	0.0	0.0	0.0	0.5961619506204404	0.9554202157577892	0.0	0.0	0.0	0.0	0.0	0.0
Para de Minas	0.6914776182264742	0.7201317234004047	0.6332538912256229	0.0	0.0	0.7652712899744137	0.0	0.5660009032665382	0.9428230608357753	0.0	0.0	0.0	0.8285372628704429	0.0	0.8256894528652997	0.0	0.0	0.0	0.0	0.0	0.0	0.5333632581651377
Pitangui	0.0	0.0	0.0	0.0	0.0	0.0	0.9551041075468308	0.0	0.0	0.0	0.7925612301536887	0.0	0.0	0.7375835885874216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Santo Antonio do Amparo	0.8725909649800133	0.783088715236667	0.8834158321373917	0.7995859091686094	0.0	0.0	0.0	0.9295867010597868	0.0	0.7156197920884808	0.0	0.9140182201480214	0.0	0.0	0.5194453912511269	0.0	0.8066875018248932	0.0	0.0	0.0	0.0	0.781984807091034
Santo Antonio do Monte	0.6494354599761565	0.8096298638302901	0.9645025009756174	0.9342796749841259	0.6504572829647488	0.0	0.0	0.7657650483963875	0.6211104154741495	0.0	0.606004897491367	0.9206141269435621	0.0	0.0	0.0	0.0	0.7877033962909867	0.0	0.5333632581651377	0.0	0.781984807091034	0.0
