	Aguanil	Araujos	Camacho	Cana Verde	Carmo da Mata	Carmo do Cajuru	Conceicao do Para	Corrego Danta	Corrego Fundo	Cristais	Estrela do Indaia	Igaratinga	Itapecerica	Itatiaiucu	Japaraiba	Leandro Ferreira	Martinho Campos	Medeiros	Onca de Pitangui	Pains	Passa Tempo	Pedra do Indaia	Perdigao	Piracema	Santana do Jacare	Sao Francisco de Paula	Sao Goncalo do Para	Sao Jose da Varginha	Sao Sebastiao do Oeste	Serra da Saudade	Tapirai
Estrela do Indaia	0.9451824671209597	0.9964494189094496	0.962045760414766	0.8185752787762983	0.9585414670640193	0.9057616266180539	0.9228342710901144	0.9405083920543826	0.993725427813668	0.781484418504025	0.0	0.9368904025001858	0.7066065745597359	0.9231313884742085	0.88873377613437	0.9591910561692797	0.8464276969202031	0.933227227319978	0.9592802732069406	0.9893362662291597	0.6113768657904332	0.9558351846356485	0.957866427843211	0.8067515859437926	0.942920191740156	0.9341925236102983	0.9437219105116241	0.9424739124065714	0.9508611325894931	0.9452316214410938	0.9141797662530827
Igaratinga	0.9974915022332573	0.9311729015530653	0.9947693003010466	0.9176933370321503	0.9377342641615078	0.9825399625453306	0.9786871039166053	0.997394162046177	0.935791142005396	0.9136887638590702	0.9368904025001858	0.0	0.8008630804110928	0.9841870572509396	0.9384038007461064	0.9926060379534449	0.9451114542526877	0.7570475995918658	0.9917592749483042	0.9468127063159344	0.8084662121717334	0.992405970848634	0.9935979750530339	0.9326169253670559	0.9987021567259884	0.8919347430264294	0.9895771126614561	0.985657846570297	0.9842034307036549	0.9918259972514669	0.9925241181656812
Itapecerica	0.8011481590956434	0.665739052099472	0.7634110762411636	0.8158538738787369	0.799030254891617	0.7486881768783397	0.6862604043316985	0.7744561720341877	0.714752352378142	0.8561121549100495	0.7066065745597359	0.8008630804110928	0.0	0.697737025532914	0.548128172411158	0.7422130219494043	0.6004751433290091	0.5872912331217147	0.7397349396856188	0.7861825015089253	0.9368993673256405	0.7321121202827504	0.7421769198843663	0.8634933748193525	0.7973875322705397	0.7575466410857205	0.7073502733512295	0.7513350189041764	0.6988067711925426	0.7737510321452558	0.852391844428885
Itatiaiucu	0.9857431268742065	0.931953076695244	0.9886858117829115	0.9172411034820541	0.8836065755302603	0.9928036704781136	0.9991964949957018	0.9926670882703403	0.9104403625086113	0.846323306875559	0.9231313884742085	0.9841870572509396	0.697737025532914	0.0	0.9801408257985151	0.9926849069358515	0.9659589304029262	0.7243535991304179	0.9929589344178038	0.922496318582889	0.7398789296622709	0.9940867860402132	0.9926792441753874	0.9159326002741348	0.9870156636938955	0.886793389403926	0.9936996413960464	0.9916595244973998	0.9966485997850117	0.9903958325804758	0.9692851288243257
Japaraiba	0.9361738871352039	0.9069028763156608	0.9507598402526416	0.8357297908822476	0.8313137671906206	0.9536828653679894	0.9800998807770924	0.9520122793795368	0.8781372829176308	0.7809112058623064	0.88873377613437	0.9384038007461064	0.548128172411158	0.9801408257985151	0.0	0.9606742205040083	0.9787586071088652	0.6888927096116662	0.9611794979531677	0.8623355144716544	0.6129435891237637	0.9660357127530195	0.9616664993492384	0.8277476638575968	0.9397639717905937	0.8137251011826243	0.9755090025231491	0.9514510221212004	0.9755529327711958	0.9458978521758877	0.9031027129051376
Leandro Ferreira	0.9950826843167481	0.9612490388796734	0.9993676207321922	0.9111307718230689	0.9290916997597113	0.9854216687584251	0.990859791079394	0.9971655472639223	0.9504107368524187	0.8618077292270884	0.9591910561692797	0.9926060379534449	0.7422130219494043	0.9926849069358515	0.9606742205040083	0.0	0.9448466423953121	0.7936790117325314	0.9999605435755642	0.9601660185010678	0.742773929483676	0.9996734548814094	0.999849050039266	0.9114528638353542	0.9953729823081396	0.9157001452131166	0.9953164885373195	0.994347893522382	0.9975596506951931	0.9960058539929334	0.9786008221926034
Martinho Campos	0.9301178494220025	0.8524789479292293	0.937866755886971	0.812029780759695	0.8448694537152494	0.938688304919051	0.9583177594872369	0.9459293943798507	0.8543496058668812	0.8685749847738911	0.8464276969202031	0.9451114542526877	0.6004751433290091	0.9659589304029262	0.9787586071088652	0.9448466423953121	0.0	0.6210194472464107	0.943707511955709	0.8226324430365317	0.6842261461422372	0.9526056768111714	0.9488749374974977	0.831104592776838	0.9369238004274169	0.7403821957430553	0.9706438748244206	0.9262104248168963	0.9524872930177648	0.9282187372681004	0.9103164170203234
Medeiros	0.7709841784854111	0.9215077201187133	0.8011643219243892	0.6037532057368987	0.8871507904963187	0.6965743374873214	0.7254193999199017	0.7577915345532601	0.9323700601464965	0.595368650381642	0.933227227319978	0.7570475995918658	0.5872912331217147	0.7243535991304179	0.6888927096116662	0.7936790117325314	0.6210194472464107	0.0	0.7937814245119359	0.909898573208133	0.0	0.7868503255914642	0.7912034269598301	0.5800550236963408	0.7658638497192173	0.8451251515794053	0.7664668850752796	0.7641326649481093	0.7777199053778521	0.7687629977977517	0.7265161130879193
Onca de Pitangui	0.9947983952116002	0.9619776074841433	0.9991597379500262	0.9126989217150807	0.9267138067197808	0.9860078753920793	0.9914883042632409	0.9969372435423279	0.9495397885318415	0.8576216975736677	0.9592802732069406	0.9917592749483042	0.7397349396856188	0.9929589344178038	0.9611794979531677	0.9999605435755642	0.943707511955709	0.7937814245119359	0.0	0.9604418218277411	0.7407228438019963	0.9995410810541557	0.9996713007618249	0.9118946857242546	0.994955198167717	0.91796274962907	0.9948323347195268	0.9950035234050947	0.9979193924000561	0.9962869482879265	0.9779956320426606
Pains	0.9593090210883535	0.9831485435735382	0.9657999317854399	0.8745382119722753	0.9519001499590202	0.9223831471419229	0.9231056321033881	0.9497553492753328	0.9768173932135479	0.7979247136928868	0.9893362662291597	0.9468127063159344	0.7861825015089253	0.922496318582889	0.8623355144716544	0.9601660185010678	0.8226324430365317	0.909898573208133	0.9604418218277411	0.0	0.6946035960280252	0.9541266670324714	0.9576991614955271	0.8643678100452149	0.9552320048105392	0.9667167189097017	0.9349034957162023	0.9547845778758004	0.9471306612655646	0.9585656676638418	0.9417697275374786
